root@generic:/data/misc # ./ptree                                              
*nr=:100
Number of process: 55
Name	PID	State	PPID	FCPID	NSPID	UID
swapper	0	0	0	1	0	0	
	init	1	1	0	45	2	0	
		ueventd	45	1	1	0	61	0	
		logd	61	1	1	0	62	1036	
		vold	62	1	1	0	67	0	
		healthd	67	1	1	0	68	0	
		lmkd	68	1	1	0	69	0	
		servicemanager	69	1	1	0	70	1000	
		surfaceflinger	70	1	1	0	72	1000	
		qemud	72	1	1	0	75	0	
		sh	75	1	1	0	76	2000	
		adbd	76	1	1	383	79	0	
			sh	383	1	76	5247	0	0	
				ptree	5247	0	383	0	0	0	
		rild	79	1	1	0	80	1001	
		drmserver	80	1	1	0	82	1019	
		installd	82	1	1	0	83	0	
		keystore	83	1	1	0	85	1017	
		gatekeeperd	85	1	1	0	89	1000	
		perfprofd	89	1	1	0	90	0	
		fingerprintd	90	1	1	0	118	1000	
		bootanimation	118	1	1	0	692	1003	
		debuggerd	692	1	1	0	5152	0	
		netd	5152	1	1	5248	5153	0	
			iptables	5248	0	5152	0	0	0	
		mediaserver	5153	1	1	0	5154	1013	
		main	5154	0	1	0	0	0	
	kthreadd	2	1	0	3	0	0	
		ksoftirqd/0	3	1	2	0	6	0	
		khelper	6	1	2	0	7	0	
		sync_supers	7	1	2	0	8	0	
		bdi-default	8	1	2	0	9	0	
		kblockd	9	1	2	0	10	0	
		rpciod	10	1	2	0	11	0	
		kworker/0:1	11	1	2	0	12	0	
		kswapd0	12	1	2	0	13	0	
		fsnotify_mark	13	1	2	0	14	0	
		crypto	14	1	2	0	25	0	
		kworker/u:1	25	1	2	0	30	0	
		mtdblock0	30	1	2	0	35	0	
		mtdblock1	35	1	2	0	40	0	
		mtdblock2	40	1	2	0	41	0	
		binder	41	1	2	0	42	0	
		deferwq	42	1	2	0	43	0	
		kworker/u:2	43	1	2	0	44	0	
		mmcqd/0	44	1	2	0	47	0	
		jbd2/mtdblock0-	47	1	2	0	48	0	
		ext4-dio-unwrit	48	1	2	0	51	0	
		flush-31:1	51	1	2	0	53	0	
		jbd2/mtdblock1-	53	1	2	0	54	0	
		ext4-dio-unwrit	54	1	2	0	59	0	
		jbd2/mtdblock2-	59	1	2	0	60	0	
		ext4-dio-unwrit	60	1	2	0	108	0	
		kauditd	108	1	2	0	1877	0	
		kworker/0:0	1877	1	2	0	0	0	
